B1,B2,B3,B4
-0.02,-0.039,0.1,0.02
-0.137,-0.063,0.144,0.044
-0.01,-0.024,0.11,0.02
0.049,-0.024,-0.066,-0.02
-0.081,-0.061,-0.044,-0.071
-0.125,-0.007,0.029,-0.01
-0.081,-0.051,0.071,0.1
0.049,0.027,0.149,0.098
0.088,0.083,-0.142,-0.017
-0.095,0.007,-0.046,-0.078
-0.073,-0.115,0.139,-0.024
0.122,0.044,-0.061,0.007
0.134,0.208,-0.222,0.005
0.032,0.137,-0.066,-0.078
0.037,0.117,-0.017,-0.051
0.112,0.017,-0.037,-0.022
0.049,0.056,-0.066,0.005
-0.042,0.037,-0.085,-0.034
-0.027,0.085,-0.01,-0.09
0.054,0.076,-0.134,-0.073
0.051,-0.132,-0.046,0.022
-0.088,-0.146,-0.022,0.105
-0.144,-0.068,0.061,0.02
-0.071,-0.059,0.015,-0.059
0.073,-0.139,-0.081,-0.095
0.137,-0.173,-0.01,0.042
0.01,-0.103,-0.032,0.098
-0.107,-0.051,-0.098,0.105
0.02,-0.085,-0.051,0.032
0.173,-0.007,0.007,-0.017
0.093,-0.1,-0.19,-0.002
-0.024,0.071,-0.137,0.005
-0.061,0.002,-0.012,0.02
-0.012,0.098,-0.029,-0.044
0.032,0.046,-0.007,-0.139
0.037,0.051,-0.002,-0.129
0.02,0.264,0.029,0.005
0.127,0.112,0.051,0.027
0.12,0.085,0.049,0.046
-0.024,0.002,-0.063,-0.027
-0.159,-0.037,-0.022,-0.078
-0.103,-0.093,0.015,-0.078
-0.056,-0.027,0.112,-0.039
0.022,-0.061,0.076,0.051
-0.012,-0.012,0.005,0.078
-0.02,-0.034,0,0
-0.005,-0.063,0.11,-0.039
0.066,0.007,0.051,-0.027
0.056,-0.042,-0.037,0.046
-0.02,-0.022,0.01,0.012
-0.02,0.027,0.002,-0.056
0.042,0.078,-0.044,-0.09
0.161,0.11,-0.161,-0.042
0.032,-0.098,-0.071,-0.034
0.022,-0.088,0.056,-0.01
0.088,0.034,0.024,-0.034
0.1,0.032,-0.117,0.042
0.056,0.076,0.027,0.044
-0.046,0.02,0.042,0.005
-0.022,0.027,-0.015,-0.071
0.039,-0.051,-0.012,-0.007
0.129,-0.117,-0.081,0.002
0.029,-0.029,-0.1,0.071
-0.01,-0.142,-0.007,0.068
-0.02,-0.178,0.12,0.032
0.063,-0.193,0.032,-0.029
0.051,-0.049,-0.051,-0.022
-0.046,-0.066,0,0.1
-0.002,-0.088,-0.017,0.068
0.076,-0.142,-0.203,0.063
0.11,0.029,0.005,0.11
0.049,-0.061,0.249,0.049
0.063,-0.059,0.017,0.012
0.078,0.066,-0.125,-0.034
-0.037,0.088,0.01,-0.015
-0.02,0.032,0.071,-0.027
0.115,0.039,-0.037,-0.029
0.073,0.01,-0.078,-0.022
-0.095,0.039,-0.012,-0.024
-0.103,-0.034,0.225,0.037
0.085,0.034,0.127,0.076
0.063,-0.1,-0.071,0.044
-0.034,-0.146,-0.137,0.032
-0.105,-0.164,0.115,-0.044
-0.063,0.012,-0.042,0.037
-0.005,-0.029,-0.01,0.054
0.015,-0.171,0.1,-0.005
-0.051,-0.115,0.012,-0.088
-0.098,0.007,0.002,-0.042
-0.012,0.005,-0.129,0.046
-0.012,-0.061,-0.156,0.037
-0.022,0.051,-0.105,-0.046
-0.037,0.066,0.051,-0.142
0.103,0.01,-0.037,-0.154
0.151,0.237,-0.164,0.024
0.046,0.166,-0.083,0.083
0,-0.051,0.042,0.005
0.054,0.107,-0.098,-0.127
0.12,0.112,-0.134,-0.12
0.081,0.168,0.039,0.027
-0.042,0.015,-0.051,0.098
-0.066,0.083,-0.129,0.007
0.107,-0.037,-0.007,-0.015
0.117,-0.164,0.1,-0.042
-0.046,-0.19,-0.017,0.022
-0.198,-0.049,0.027,0.044
-0.144,-0.103,0.127,0.049
0.01,-0.151,-0.037,0.088
0.017,-0.205,-0.078,0.042
-0.115,-0.088,0.005,0.027
-0.073,-0.083,-0.132,0.007
0.071,-0.09,-0.061,0.054
0.125,-0.071,-0.071,0.071
0.144,-0.059,-0.125,0.027
0.042,-0.02,-0.154,-0.02
0.02,0.085,-0.061,0.015
0.054,-0.007,-0.078,0.027
0.073,-0.046,-0.076,-0.012
0.042,-0.039,-0.059,0.007
-0.034,-0.032,-0.146,0.002
-0.029,0.132,0.022,0.01
0.027,0.024,0.061,-0.017
0.012,-0.056,0.076,-0.017
-0.039,-0.046,-0.039,-0.01
-0.127,-0.012,-0.01,0.002
-0.017,-0.105,0.105,0.01
-0.027,-0.007,0.125,0.012
-0.071,0.059,0.039,-0.007
-0.139,-0.129,0.132,0.02
-0.103,-0.142,-0.044,-0.032
0.012,-0.1,-0.061,-0.037
0.027,0.068,-0.024,-0.012
-0.022,-0.034,0.01,0.01
-0.012,-0.144,0.005,-0.01
0.054,-0.046,0.015,-0.061
0.1,-0.039,0.051,-0.017
0.071,0.034,0.01,0
-0.029,0.083,0.022,0.015
-0.088,0.059,-0.078,-0.068
0.042,0.039,0.029,-0.129
0.095,0.144,0.015,0
-0.029,-0.002,0.012,0.059
-0.12,0.142,-0.225,0.103
-0.076,0.149,-0.066,0.029
0.042,0.027,0.078,0.066
0.005,-0.032,0.032,0.046
-0.032,0,0.059,0.073
-0.029,-0.085,0.09,0.083
-0.093,-0.193,-0.02,0.071
-0.037,0.005,-0.012,0.078
-0.037,0.081,0.063,0.081
-0.042,0.002,-0.046,0.073
0.042,0.044,-0.151,0.103
0.068,0.034,-0.024,0.093
0.046,0.034,0.251,0.054
0.103,0.049,0.132,0.007
0.085,0.132,0.044,0.012
-0.037,0.12,0.073,0.046
0.071,0.024,-0.042,0.078
0.125,0.015,-0.066,0.071
0.129,0.032,0.024,-0.063
-0.002,0.1,0.186,-0.107
-0.085,0.027,-0.022,-0.066
0.017,-0.039,0.027,0.017
0.107,-0.022,0.237,-0.024
0.068,0.034,0.156,-0.107
0.066,0.01,-0.034,-0.085
-0.02,-0.042,0.093,-0.071
0.027,-0.039,0.161,-0.002
0.027,-0.056,0.095,0.015
-0.024,-0.015,0.015,-0.059
0.073,0.093,0.054,-0.054
0.122,-0.112,-0.039,-0.1
0.088,0.076,0,-0.149
0.017,0.09,-0.027,-0.085
-0.129,0.024,-0.12,-0.039
0.061,0.039,0.129,-0.046
0.134,-0.098,0.208,-0.049
0.063,0.051,0.11,0.059
-0.032,0.112,0.015,0.122
-0.21,-0.049,0.029,-0.024
-0.103,-0.044,-0.105,-0.068
-0.012,0.027,0.012,0.054
0.115,-0.095,0.103,0.083
0.007,-0.044,-0.107,0.039
-0.127,-0.088,0.068,-0.024
-0.068,-0.051,0.076,-0.046
-0.012,-0.1,-0.156,0.007
0.029,0.039,-0.137,0.051
0.071,-0.01,0.042,0.063
-0.039,-0.02,0.012,-0.076
-0.085,0.156,-0.146,-0.073
0.09,0.095,-0.227,-0.029
0.095,-0.032,-0.029,0.027
0.173,-0.002,0.034,0.015
0.098,0.144,-0.19,0.029
-0.21,0.137,-0.11,-0.078
-0.195,0.037,-0.056,-0.129
0.105,0.034,0.071,0.002
0.063,-0.015,-0.032,0.142
-0.078,-0.037,-0.188,0.146
-0.149,-0.007,-0.046,0.049
-0.134,0.027,0.151,-0.063
-0.024,0.076,0.039,-0.098
-0.037,-0.088,0.01,0.042
0.017,-0.205,-0.122,0.076
-0.012,-0.039,0.076,0.054
0.024,-0.066,0.293,-0.051
-0.02,0.042,-0.017,-0.085
0.056,0.049,-0.327,-0.044
0.1,0.02,0.188,0.037
0.007,-0.034,0.125,0.046
-0.017,-0.083,-0.078,0.034
0.005,0.088,-0.176,-0.088
0.02,0.054,0.046,-0.151
-0.012,-0.046,-0.076,-0.039
0.054,-0.049,-0.278,-0.051
0.11,-0.022,-0.09,0.024
0.042,0.217,0.208,0.032
-0.068,0.11,0.178,-0.073
-0.017,-0.005,-0.056,-0.112
0.01,-0.137,-0.137,-0.073
0.017,0.02,0.149,0.046
-0.039,-0.032,0.1,0.122
-0.144,0.068,-0.159,0.073
-0.144,-0.068,0.032,-0.01
-0.09,-0.125,0.112,-0.049
-0.071,0.024,0.083,0.017
-0.061,-0.005,0.186,0.107
-0.103,-0.073,-0.146,0.046
0.037,-0.132,-0.012,0.024
-0.037,-0.1,0.098,-0.042
-0.139,-0.044,-0.173,-0.012
-0.134,0.146,-0.164,0.059
0.032,0.142,0.027,-0.012
0.186,-0.027,0.073,0.015
0.066,-0.083,-0.066,0.027
-0.061,-0.029,-0.1,-0.059
-0.154,0.142,-0.088,-0.09
-0.017,-0.049,-0.012,-0.012
0.083,0.002,-0.156,-0.012
0.032,0.024,-0.056,0.007
-0.081,0.029,0.032,0.015
-0.071,-0.005,0.037,-0.037
0.049,-0.078,0.083,-0.046
0.107,-0.107,0.029,0.017
0.017,-0.076,-0.012,0.071
0.012,-0.103,0.088,0.027
0.049,-0.154,-0.049,-0.051
-0.007,0.063,0.037,-0.127
0.039,-0.056,0.095,-0.046
0.059,0.044,0.1,0.076
0.054,-0.012,0.002,0.095
0.054,-0.076,-0.007,0.005
0.061,0.061,0.188,-0.032
0.078,0.105,0.083,-0.073
0.039,0.029,-0.088,-0.088
-0.012,0.027,-0.005,-0.042
-0.02,0.056,-0.068,-0.012
0.029,0,-0.007,0.024
-0.007,0.078,0.01,-0.029
-0.029,0.103,-0.093,-0.029
-0.032,0.01,0.061,-0.051
-0.09,0.093,0.061,0.037
0.061,0.005,-0.029,0.117
-0.09,-0.054,0.103,0.056
-0.081,-0.007,-0.071,0.01
0.015,-0.032,0.051,0.007
-0.081,0.042,-0.027,0.017
0.024,0.088,0.259,0.078
0.081,-0.085,-0.149,0.127
-0.012,-0.017,-0.31,0.105
-0.049,0.049,-0.012,0.005
-0.071,0.146,0.178,-0.034
-0.076,0.002,-0.095,0.083
-0.007,0.046,0.01,0.1
0.073,0.081,0.1,0.007
0.071,-0.051,0.081,-0.017
0.012,-0.127,0.098,0.073
-0.142,-0.027,-0.039,-0.029
-0.032,-0.046,0.122,-0.049
-0.007,-0.061,0.071,0.01
0.09,-0.017,-0.059,0.068
0.076,0.012,-0.073,0.046
-0.034,0.095,0.032,-0.015
0.017,0.039,0.081,-0.027
0.068,-0.02,-0.007,0.015
0.034,-0.081,-0.234,0.076
0.054,-0.007,0.061,0.02
0.12,-0.049,-0.015,-0.081
0.122,-0.066,-0.027,-0.085
0.085,0.022,0.024,-0.068
0.127,0.073,0.095,0.059
0.181,-0.063,0.093,0.066
0.137,-0.063,-0.095,0.012
0.071,0,-0.098,-0.066
0.02,-0.071,0.01,-0.098
-0.027,-0.088,0.146,-0.022
-0.02,-0.105,0.044,0.044
-0.005,0.034,-0.151,0.022
-0.007,-0.105,0.044,-0.002
-0.017,-0.259,0.186,-0.002
0.054,-0.112,-0.078,-0.01
0.039,-0.073,-0.137,0.078
-0.056,-0.181,-0.017,0.076
-0.029,-0.088,0.002,0.066
-0.037,-0.022,-0.11,0.049
-0.061,-0.1,-0.178,-0.039
-0.012,-0.044,-0.068,0.022
-0.017,-0.071,-0.105,0.022
-0.073,-0.01,-0.01,0.042
-0.059,0.107,-0.19,-0.007
0.015,0.156,-0.247,0.029
0,-0.132,-0.176,0.1
-0.056,-0.029,-0.11,0.076
-0.071,0.032,-0.085,0.024
0.015,0.042,-0.107,0.002
0.02,0.107,-0.181,0.032
-0.034,-0.078,-0.059,0.046
-0.046,-0.024,-0.068,-0.034
-0.054,-0.168,-0.085,-0.029
0,-0.1,-0.012,-0.005
0.017,-0.054,0.056,0.071
-0.044,0.027,0.181,0.105
-0.044,-0.063,-0.066,0.029
-0.059,-0.146,-0.105,0.022
-0.088,-0.054,0.017,0.024
-0.068,-0.039,0.029,0.022
-0.005,-0.007,0.095,0.007
0.032,0.017,-0.054,0.039
-0.039,-0.078,-0.237,-0.02
-0.007,-0.071,-0.134,-0.022
0.1,-0.054,-0.103,-0.027
0.083,0.012,0.024,0.015
0.081,-0.012,0.01,0.005
0.142,0.073,0.161,-0.037
0.137,0.066,-0.083,-0.054
0.107,0.056,-0.154,-0.056
0.117,0.054,-0.02,0.007
0.066,-0.027,0.049,-0.01
0.005,-0.039,-0.046,-0.015
-0.005,0.015,-0.09,-0.029
0.034,-0.012,0.242,-0.022
0.042,-0.056,0.083,0.071
0.029,-0.012,0.039,0.042
-0.11,-0.103,0.166,0.015
-0.081,-0.11,0.022,0.015
0.012,-0.046,0.02,0.061
0.117,-0.125,0.139,0.063
-0.049,-0.095,0.083,0.107
-0.115,-0.056,-0.129,0.042
-0.029,-0.039,0.061,-0.024
0.088,-0.059,0.012,0
0.024,-0.007,0.02,0.049
-0.012,0.137,0,0.007
0.007,0.134,-0.015,-0.073
0.054,0.073,-0.032,0.005
0.12,0.063,-0.046,-0.007
0.059,0.002,0.034,0.051
0.002,0.195,-0.198,0.063
0.066,0.146,-0.017,0.044
0.076,0.078,0.129,0.029
0.066,-0.098,0.071,-0.042
0.071,0.002,-0.134,0.012
-0.083,0.039,0.083,0.024
-0.017,-0.027,0.093,0.054
-0.005,0.005,0.122,0.02
-0.061,-0.112,-0.061,-0.015
-0.054,-0.137,-0.044,-0.034
-0.017,-0.112,0.232,0.054
0.007,-0.056,0.11,0.037
-0.005,-0.149,-0.042,0
-0.059,-0.098,0.007,0.002
-0.056,-0.105,-0.024,-0.061
-0.017,-0.073,-0.09,-0.046
0.049,-0.039,-0.1,0.059
0.051,0,-0.142,-0.012
0.022,-0.049,-0.012,-0.076
0.061,0.01,-0.146,-0.139
0.015,0.012,-0.037,-0.146
0.022,0.078,-0.095,0
0.027,0.125,-0.034,0.02
-0.007,-0.022,-0.012,-0.029
0.002,-0.02,-0.044,-0.1
0.027,0.071,-0.068,-0.059
-0.02,0.09,-0.017,-0.017
-0.066,-0.11,0.166,0.051
-0.063,-0.11,-0.117,0.024
0.02,-0.11,-0.02,-0.024
-0.029,0.007,0.059,-0.012
-0.117,-0.032,0.081,-0.007
-0.088,-0.115,0.054,0.022
-0.027,-0.164,0.061,0.059
0.005,-0.139,-0.076,0.051
-0.02,0.085,-0.002,-0.042
-0.051,0.012,-0.027,-0.032
-0.046,0.039,-0.01,-0.017
0.024,0.039,0.022,-0.015
0.042,0.073,0.09,0.02
-0.015,0.076,-0.081,-0.01
-0.02,-0.061,-0.151,0.007
0.073,0.085,-0.117,-0.007
0.054,0.156,0.027,0.015
-0.049,-0.015,-0.024,-0.056
-0.044,-0.071,-0.203,-0.024
-0.01,0.01,0.107,0.017
-0.032,0.122,-0.007,0.068
-0.09,0.02,0.198,0.037
-0.046,-0.022,-0.051,-0.037
-0.024,-0.017,-0.039,0.002
-0.005,-0.024,0.127,0.049
-0.098,-0.049,0.125,0.081
-0.076,-0.015,-0.081,0.056
0.007,-0.081,0.005,0.01
0.029,-0.061,0.071,-0.032
-0.027,-0.059,-0.056,0.007
-0.095,0.022,0.044,0.02
0.032,-0.042,0.005,0.012
0.134,-0.103,0.229,-0.01
0.112,0.103,0.039,-0.022
0.137,0.264,-0.088,-0.029
0.063,0.029,0.032,-0.056
0.056,-0.076,-0.015,-0.012
0.022,0.085,0.034,0.005
-0.054,0.12,0.081,-0.083
0.01,0.032,0.022,-0.083
0.085,0.024,0.042,-0.066
-0.068,0.032,0.12,0.01
-0.168,0.037,0.034,0.034
-0.142,-0.042,0.103,0.051
-0.005,-0.032,0,-0.027
0.012,-0.039,0.132,-0.024
-0.134,-0.015,0.081,-0.049
-0.125,0.117,-0.088,0.007
-0.051,0.142,0.054,0.017
0.002,-0.068,0.127,0.042
-0.005,-0.056,-0.061,0.005
0.056,0.127,0.051,-0.049
-0.029,0.115,0.149,-0.088
-0.137,0.044,-0.007,-0.034
0.002,0.168,-0.002,0.037
0.054,0.168,-0.024,0.056
-0.027,0.1,0.015,-0.002
0.024,0.107,-0.059,-0.046
0.037,0.178,0.095,-0.002
-0.173,0.068,0.081,0.039
-0.457,0.1,-0.054,-0.034
-0.088,0.054,-0.039,0.005
-0.012,-0.012,0.117,0.034
0.085,0.061,-0.027,0.015
0.078,0.007,-0.024,0.039
-0.134,0.061,0.186,-0.054
0,0.01,0.132,-0.054
0.132,0.085,0.125,-0.007
0.012,-0.1,0.007,0.11
-0.02,-0.029,0.122,0.085
-0.127,0.093,0.061,-0.034
-0.059,0.095,-0.01,-0.098
0.063,0.173,-0.017,-0.11
0.066,0.056,0.125,-0.063
-0.032,-0.007,0.09,-0.022
-0.103,-0.024,-0.007,-0.032
-0.071,0.051,-0.159,-0.066
0.027,0.051,0.046,-0.093
0.068,0.112,0.134,0.02
0.056,0.066,-0.12,0.02
-0.105,0.007,-0.066,-0.046
-0.144,0.01,0.015,-0.081
0.012,-0.176,0.134,-0.022
0.017,-0.151,-0.1,0.01
-0.071,-0.137,-0.168,-0.034
-0.095,0.051,-0.002,-0.015
-0.046,0.051,0.283,-0.032
0.01,0.017,0.01,0.024
-0.085,-0.151,-0.122,0.054
-0.105,-0.151,-0.02,0.002
-0.1,0.09,0.032,-0.032
-0.049,0.056,-0.071,-0.081
0.09,0.168,-0.168,-0.078
0.11,0.151,0.039,-0.061
-0.034,0.051,0.203,-0.095
-0.188,0.017,0.044,-0.112
-0.088,-0.002,-0.059,-0.1
0.095,-0.044,0.088,0.02
0.125,0.1,0.156,0.044
-0.088,0.117,0.073,-0.01
-0.237,0.1,-0.132,-0.127
-0.193,0.039,0.112,-0.039
-0.095,0.022,0.115,-0.01
-0.042,-0.01,0.039,0.02
-0.098,-0.044,0.024,-0.054
-0.205,0.002,-0.137,-0.095
-0.132,0.103,0.095,-0.029
-0.017,0.115,0.068,-0.032
-0.107,-0.007,-0.039,-0.046
-0.154,-0.037,-0.083,0.01
-0.117,0.02,0.049,-0.044
-0.005,0.195,0.017,-0.068
0.098,0.232,0.015,-0.11
0.034,0.012,-0.061,-0.012
-0.049,0.054,0.005,-0.015
-0.037,0.151,0.024,-0.032
0.015,0.071,0.039,-0.054
-0.024,0.083,0.088,-0.017
-0.046,-0.005,0.115,-0.01
-0.051,-0.02,0.173,-0.027
-0.132,0.029,0.095,-0.095
-0.181,-0.039,-0.022,-0.054
-0.139,0.034,0.247,0.01
-0.034,-0.046,0.327,0.007
-0.083,-0.071,-0.117,-0.024
-0.144,-0.117,0.044,-0.042
-0.151,-0.042,0.088,-0.039
-0.027,-0.107,0.112,0.056
0.015,-0.039,-0.022,0.002
-0.022,0.09,0.071,-0.071
-0.032,0.181,-0.105,-0.054
-0.012,0.076,0.061,-0.049
0.034,-0.044,0.09,-0.066
-0.059,0.046,-0.027,-0.024
-0.098,0.085,-0.002,-0.046
-0.029,0.085,0.017,-0.12
0.085,0.142,0.039,-0.117
0.076,0.168,0.002,-0.115
-0.103,0.078,0.127,-0.056
-0.132,0.073,0.01,0.017
-0.149,0.156,0.208,0.034
-0.063,0.034,0.132,0.034
-0.039,-0.034,0.044,0.083
-0.122,0.017,0.027,0.056
-0.105,-0.044,0.022,0.095
-0.112,-0.032,0.037,0.071
-0.115,-0.005,0.049,0.1
-0.024,0.093,0.046,-0.103
0.007,0.046,0.09,-0.051
-0.059,0.063,-0.029,-0.049
0.088,0.09,-0.083,0.093
-0.034,0.061,-0.022,0.044
-0.095,0.046,-0.103,-0.051
0,0.115,-0.015,-0.225
0.051,0.11,-0.112,-0.122
0.112,0.249,-0.095,-0.02
0.117,0.146,-0.037,0.103
0.032,0.032,0.02,0.095
-0.039,-0.02,0.017,0.027
-0.159,0.059,0.039,-0.059
-0.249,0.022,0.059,0.09
-0.061,-0.176,-0.205,-0.007
-0.098,0.029,-0.19,-0.034
-0.056,-0.081,-0.022,-0.061
-0.061,0.005,0.164,-0.154
-0.129,-0.117,0.073,-0.159
-0.022,-0.085,0.012,0.132
-0.046,-0.059,-0.063,0.12
-0.088,0.12,0.022,0.022
-0.015,0.11,0.002,-0.049
-0.02,-0.029,-0.042,-0.078
0.078,-0.068,-0.129,-0.122
-0.012,0.159,-0.154,-0.085
-0.12,0.254,0.032,-0.044
0.02,0.095,0.017,0.007
0.02,-0.024,-0.071,-0.078
-0.071,-0.042,-0.049,-0.059
-0.193,0.073,0.144,-0.105
-0.166,0.093,0.012,-0.059
-0.022,-0.063,-0.085,-0.083
0.007,0.083,0.129,-0.051
-0.042,-0.044,0.269,-0.022
-0.073,0.056,0.198,-0.02
-0.085,-0.063,0.029,-0.039
-0.095,-0.027,0.061,-0.027
-0.061,0.024,0.068,-0.044
-0.046,0.007,0.032,0.054
-0.063,0.088,-0.042,0.007
-0.068,0.107,0.078,-0.012
-0.015,0.002,0.19,-0.071
0.054,0.007,0.051,-0.005
0.105,0.049,-0.063,-0.015
0.088,0.12,0.071,-0.112
0.059,0.129,0.071,-0.134
0.061,0.042,0.059,-0.098
0.051,0.051,-0.022,0.039
-0.015,0.034,-0.005,-0.022
-0.095,0.117,0.015,-0.056
-0.061,0.049,0,0.017
-0.029,-0.049,0.054,0.044
-0.034,-0.11,-0.037,0.017
-0.059,-0.19,0.078,-0.039
-0.046,-0.083,0.042,-0.095
0.063,-0.093,-0.022,-0.024
0.005,-0.159,-0.042,0.024
-0.083,-0.105,0.046,0.037
-0.107,-0.115,0.002,0.022
-0.059,-0.051,-0.071,-0.022
0.034,-0.083,-0.076,-0.122
0.02,-0.002,-0.027,-0.073
-0.02,0.093,-0.027,-0.007
-0.007,0.059,0.022,-0.022
0.005,0.103,0.146,-0.083
0.032,0.125,0.059,-0.066
0.034,-0.085,0.051,-0.054
0.054,-0.005,0.139,-0.1
0.037,0.168,0.022,-0.129
0,0.146,-0.151,-0.137
0.017,0.02,0.288,-0.034
0.042,-0.181,0.127,-0.039
0.071,-0.156,-0.044,0
-0.071,0.085,0.103,-0.007
-0.127,0.107,0.256,-0.007
-0.103,-0.085,0.068,-0.032
-0.125,-0.073,0.093,-0.054
-0.042,-0.022,0.11,-0.022
-0.083,-0.051,0.002,0.007
-0.032,0.095,0.012,-0.024
0.1,0.056,-0.129,-0.022
0.125,-0.107,-0.056,0.071
-0.044,0.037,0.007,0.105
0.042,0.066,0.037,0.054
0.039,-0.01,-0.017,-0.017
-0.02,0.051,-0.012,0.037
0.002,0.21,-0.042,0.012
-0.01,0.049,-0.076,-0.037
0.037,0.181,-0.21,-0.017
0.059,-0.042,-0.176,0.081
-0.01,-0.007,-0.063,0.068
-0.039,0.051,-0.11,-0.061
0.015,-0.012,-0.027,-0.042
0.056,-0.01,-0.081,0.017
0.039,0.002,-0.112,0.09
-0.156,-0.046,0.073,0.085
-0.146,-0.173,0.103,0.029
0.02,-0.156,-0.129,-0.007
0.088,-0.051,-0.032,-0.017
0.012,0.027,0.032,0.027
-0.037,-0.012,-0.078,0.054
-0.051,0.024,-0.037,0.103
-0.051,-0.056,0.073,0.044
0.078,0.076,-0.081,0.022
0.122,0.002,-0.002,-0.046
0.01,0.049,-0.042,0.015
0.034,0.093,-0.129,0.012
0.049,0.068,-0.1,-0.007
0.1,0.024,-0.085,-0.024
0.081,0.085,-0.037,-0.042
0.066,0.066,-0.212,-0.061
0.007,-0.1,-0.061,0.012
-0.002,0.098,-0.054,0.039
0.042,0.027,-0.056,0.066
-0.098,-0.139,-0.029,0.061
-0.112,-0.042,0.073,0.034
-0.024,-0.078,0.027,-0.022
0,-0.073,0.022,-0.022
0.005,-0.125,-0.098,0.022
-0.066,-0.149,-0.059,0.11
0.005,-0.132,-0.088,0.122
0.042,0.066,0.034,-0.027
0.046,0.034,-0.015,-0.061
0.037,-0.02,-0.125,0.076
-0.01,-0.027,0,0.063
0.022,-0.146,-0.149,0.061
0.054,0.012,-0.159,-0.024
0.039,0.046,-0.095,-0.017
0.066,-0.154,-0.029,-0.039
0.122,-0.193,-0.11,-0.029
0.095,-0.132,-0.051,0.066
0.054,-0.066,0.066,0.051
0.049,-0.132,0.015,0.037
0.049,-0.225,-0.09,0.002
0.073,-0.186,-0.112,-0.039
0.037,-0.125,-0.046,-0.012
-0.017,-0.168,-0.11,0.085
-0.012,-0.139,-0.066,0.051
-0.056,-0.181,-0.166,0.056
-0.044,-0.149,0.095,0.054
0.042,0.002,0.027,0.029
0.129,-0.022,-0.293,0.068
-0.015,-0.142,-0.068,-0.012
0.02,-0.115,0.107,-0.039
0.132,-0.034,0.024,-0.037
0.115,0.186,0,0.068
0.024,0.161,-0.037,0.029
0.063,0.017,-0.11,-0.034
0.073,0.024,-0.083,-0.071
0.049,-0.103,-0.137,0
0.039,0.093,0.034,0.017
-0.042,0.063,0.142,-0.029
0.059,-0.024,0.188,-0.09
0.117,-0.044,0.029,-0.139
0.095,-0.073,-0.032,-0.002
0.073,0.056,-0.024,0.071
-0.032,-0.076,0.161,0.105
0.051,-0.076,0.02,0.007
0.027,-0.029,-0.017,0.02
-0.002,0.076,0.122,0.066
0.022,-0.012,0.022,0.068
0.071,-0.012,0.024,-0.012
0.027,-0.022,0.024,-0.02
-0.042,-0.027,0.022,-0.027
0.032,0.01,-0.078,-0.02
0.237,0.073,-0.088,0.059
0.225,0.042,-0.142,0.093
0.168,0.017,-0.088,0.142
0.132,0.027,-0.022,-0.007
0.095,0.081,-0.076,-0.015
0.103,0.088,-0.024,-0.044
0.19,0.002,0.032,0.085
0.107,0.007,0.012,0.107
0.027,0.034,-0.178,0.11
-0.056,-0.061,0.002,0.015
0.029,-0.176,-0.029,0.015
0.042,-0.171,-0.042,0.066
0.032,-0.186,0.012,0.117
0.027,-0.083,0.024,0.173
-0.039,-0.22,-0.049,0.112
-0.039,-0.146,-0.002,0.12
0.037,-0.085,0.01,-0.005
0.088,-0.266,-0.01,0.068
0.068,-0.237,-0.098,0.024
-0.054,-0.012,-0.061,0.034
0.012,-0.054,-0.002,-0.039
0.129,-0.049,-0.173,-0.027
0.183,-0.032,-0.107,-0.088
0.122,0.107,-0.076,-0.083
0.076,0.024,-0.076,-0.046
-0.027,-0.063,-0.154,0
-0.015,0.054,-0.093,-0.005
0.1,-0.066,-0.161,-0.09
0.166,-0.068,-0.12,-0.042
0.09,-0.049,-0.039,-0.083
-0.037,-0.042,0.034,-0.068
0.002,-0.071,-0.066,-0.015
0.024,-0.161,0.137,0.02
0.046,-0.103,0.09,0.078
-0.059,-0.188,-0.085,-0.005
-0.161,-0.076,-0.027,-0.01
0.017,-0.132,-0.015,-0.044
0.112,-0.188,0.066,0.042
0.044,-0.093,-0.059,0.085
0.022,-0.076,-0.039,0.015
0.049,0.01,-0.103,-0.017
0.156,-0.115,0.024,-0.027
0.132,0.022,-0.02,0.002
0.088,-0.02,-0.195,0.071
0.044,0.037,-0.227,0.083
0.051,-0.002,-0.129,-0.017
0.127,0.107,-0.105,0.007
0.095,0.034,-0.073,-0.012
-0.088,-0.01,-0.103,0.071
-0.044,0.015,-0.037,-0.01
0.056,-0.105,-0.032,0.032
0.007,-0.022,-0.146,0.068
-0.059,-0.068,-0.054,0.061
0,-0.137,0.022,0.046
-0.002,-0.222,0.034,0.115
-0.029,-0.137,-0.134,0.105
0.037,-0.076,-0.007,0.09
0.032,0.015,-0.029,0.063
-0.061,-0.083,-0.1,0.093
-0.115,-0.149,-0.059,0.083
-0.085,-0.056,-0.046,0.076
-0.005,-0.11,-0.1,0.078
0.081,0.032,-0.117,0.063
0.098,-0.039,-0.007,0.085
0.134,0.029,-0.015,0.022
0.078,-0.063,0.012,0.002
-0.056,-0.037,-0.129,0.056
-0.056,-0.088,-0.049,-0.005
0.071,-0.015,-0.093,0.017
0.193,0.015,0.007,-0.081
0.059,0.027,-0.154,-0.022
-0.022,0.046,-0.073,-0.09
-0.137,-0.046,0.012,0.02
-0.032,-0.061,-0.051,0.046
0.083,-0.112,0.042,0.046
0.149,-0.083,0.115,0.044
0.015,0.01,0.107,0.015
-0.005,-0.027,0.125,0.024
-0.002,-0.129,0.19,0.059
-0.005,-0.173,-0.002,0.085
